Date,Open,High,Low,Close,Adj Close,Volume
2022-07-22,1366.000000,1397.000000,1362.400024,1392.500000,1392.500000,6364796
2022-07-25,1395.000000,1404.599976,1383.300049,1396.599976,1396.599976,5071563
2022-07-26,1396.000000,1402.000000,1386.300049,1393.750000,1393.750000,4263982
2022-07-27,1388.900024,1406.000000,1384.250000,1404.400024,1404.400024,4606389
2022-07-28,1415.050049,1424.000000,1411.000000,1416.849976,1416.849976,8710203
2022-07-29,1438.000000,1438.599976,1415.300049,1434.199951,1434.199951,10009868
2022-08-01,1439.000000,1448.449951,1430.050049,1446.150024,1446.150024,6596518
2022-08-02,1442.000000,1444.599976,1423.050049,1430.250000,1430.250000,7518255
2022-08-03,1424.949951,1435.750000,1417.000000,1433.599976,1433.599976,5487749
2022-08-04,1440.000000,1446.699951,1412.949951,1431.900024,1431.900024,6006103
2022-08-05,1433.000000,1436.949951,1421.150024,1427.050049,1427.050049,4634491
2022-08-08,1428.000000,1464.500000,1427.099976,1462.050049,1462.050049,7678868
2022-08-10,1461.349976,1471.500000,1449.050049,1466.300049,1466.300049,8676551
2022-08-11,1486.500000,1491.000000,1474.550049,1485.699951,1485.699951,9150883
2022-08-12,1485.000000,1489.300049,1475.949951,1485.150024,1485.150024,4425185
2022-08-16,1494.800049,1508.500000,1488.050049,1502.150024,1502.150024,6281878
2022-08-17,1500.000000,1512.750000,1485.750000,1509.900024,1509.900024,6192175
2022-08-18,1500.000000,1513.900024,1499.650024,1511.699951,1511.699951,4171069
2022-08-19,1510.000000,1512.000000,1490.000000,1493.050049,1493.050049,4031851
2022-08-22,1484.800049,1488.349976,1467.699951,1470.349976,1470.349976,4117033
2022-08-23,1453.300049,1475.949951,1450.400024,1465.800049,1465.800049,7483442
2022-08-24,1461.900024,1475.500000,1459.199951,1472.849976,1472.849976,6727760
2022-08-25,1479.900024,1486.800049,1457.000000,1464.849976,1464.849976,5911520
2022-08-26,1472.050049,1481.800049,1461.199951,1465.099976,1465.099976,3853088
2022-08-29,1437.000000,1446.000000,1428.599976,1439.400024,1439.400024,4326589
2022-08-30,1446.449951,1489.949951,1443.099976,1486.099976,1486.099976,5067700
2022-09-01,1464.750000,1489.449951,1459.000000,1472.150024,1472.150024,11201568
2022-09-02,1472.150024,1490.500000,1465.199951,1485.500000,1485.500000,6019043
2022-09-05,1486.099976,1499.000000,1484.099976,1495.050049,1495.050049,6065966
2022-09-06,1498.900024,1506.650024,1486.449951,1489.349976,1489.349976,6119348
2022-09-07,1471.300049,1490.000000,1471.300049,1482.300049,1482.300049,4888103
2022-09-08,1490.099976,1500.000000,1482.150024,1497.599976,1497.599976,5582345
2022-09-09,1496.199951,1509.000000,1494.050049,1498.599976,1498.599976,7564444
2022-09-12,1500.000000,1504.000000,1490.000000,1493.550049,1493.550049,5540246
2022-09-13,1498.900024,1515.900024,1498.550049,1513.099976,1513.099976,6500983
2022-09-14,1494.050049,1538.900024,1492.349976,1528.650024,1528.650024,10109880
2022-09-15,1530.000000,1540.949951,1512.000000,1520.699951,1520.699951,6769686
2022-09-16,1503.099976,1514.699951,1483.000000,1492.750000,1492.750000,10280023
2022-09-19,1489.000000,1514.000000,1480.000000,1502.599976,1502.599976,6038019
2022-09-20,1514.000000,1524.000000,1509.900024,1520.699951,1520.699951,5390834
2022-09-21,1508.000000,1521.500000,1505.000000,1518.349976,1518.349976,4536152
2022-09-22,1502.000000,1510.150024,1482.750000,1486.000000,1486.000000,6024072
2022-09-23,1472.349976,1475.000000,1437.000000,1446.150024,1446.150024,7903126
2022-09-26,1425.349976,1436.449951,1418.000000,1426.650024,1426.650024,4461743
2022-09-27,1432.400024,1440.000000,1407.000000,1413.849976,1413.849976,6319850
2022-09-28,1406.000000,1410.599976,1385.900024,1389.550049,1389.550049,5908066
2022-09-29,1396.300049,1402.199951,1378.800049,1382.349976,1382.349976,7205194
2022-09-30,1378.800049,1431.449951,1365.000000,1421.349976,1421.349976,7890878
2022-10-03,1409.949951,1417.849976,1401.099976,1413.199951,1413.199951,5770556
2022-10-04,1429.500000,1458.000000,1426.150024,1453.000000,1453.000000,5769263
2022-10-06,1459.949951,1462.599976,1434.199951,1437.000000,1437.000000,6274599
2022-10-07,1430.250000,1434.949951,1420.349976,1430.800049,1430.800049,6648997
2022-10-10,1408.000000,1426.000000,1398.199951,1415.000000,1415.000000,6554651
2022-10-11,1401.099976,1417.000000,1399.449951,1400.650024,1400.650024,7260810
2022-10-12,1403.199951,1414.849976,1397.300049,1409.800049,1409.800049,4612525
2022-10-13,1402.050049,1406.250000,1384.000000,1393.599976,1393.599976,7357117
2022-10-14,1417.000000,1447.000000,1415.250000,1439.000000,1439.000000,6424960
2022-10-17,1435.000000,1457.599976,1427.000000,1446.550049,1446.550049,9205250
2022-10-18,1458.050049,1462.900024,1440.000000,1443.849976,1443.849976,5280554
2022-10-19,1464.000000,1477.400024,1453.400024,1458.650024,1458.650024,6483520
2022-10-20,1444.000000,1452.900024,1442.500000,1448.800049,1448.800049,3949039
2022-10-21,1452.000000,1457.650024,1434.000000,1438.599976,1438.599976,5246303
